id,created_at,lang,original text,user_name,place,place type,bbx,coordinates
1380931832254988289,Sat Apr 10 17:12:59 +0000 2021,en,"👀 Let this record sink in for a minute...

#FCBB #Euroleague #TheJobAintOverYet https://t.co/PzbM0Ex9sf",FC Bayern Basketball,Munich,city,"[[[11.360589, 48.061634], [11.722918, 48.061634], [11.722918, 48.248124], [11.360589, 48.248124]]]",no coordinates
1380931095982657537,Sat Apr 10 17:10:04 +0000 2021,en,#NowPlaying Dr John - Anutha Zone https://t.co/ksEKonynfC,Nine Stones Close,Munich,city,"[[[11.360589, 48.061634], [11.722918, 48.061634], [11.722918, 48.248124], [11.360589, 48.248124]]]",no coordinates
